title,CODE,20_topics,25_topics,30_topics,35_topics,40_topics,45_topics,50_topics
The Use of a Respiratory Volume Monitor to Assess Ventilation Before and After Airway Maneuvers Duri,AMBULATORY ANESTHESIA,13.0,6.0,12.0,5.0,4.0,28.0,31.0
Monitored Anesthesia Care for Vitreoretinal Surgeries: Which Technique is Safest?,AMBULATORY ANESTHESIA,6.0,7.0,4.0,27.0,20.0,23.0,15.0
The Impact of a Potential Malignant Disease on Cognitive Performance,AMBULATORY ANESTHESIA,17.0,20.0,18.0,19.0,24.0,6.0,31.0
Correlation of Patient Airway Self-Exam With Airway Exam Performed by a Trained Anesthesia Provider,AMBULATORY ANESTHESIA,5.0,21.0,12.0,21.0,2.0,25.0,31.0
Outpatient Laparoscopic Cholecystectomy Performed in an Ambulatory Setting Versus a Hospital Setting,AMBULATORY ANESTHESIA,17.0,4.0,18.0,19.0,2.0,6.0,31.0
Evaluation & Efficacy of a Preoperative Computer-Based Educational Module of Smoking Cessation in Su,AMBULATORY ANESTHESIA,17.0,4.0,18.0,19.0,2.0,13.0,31.0
Screening for Obstructive Sleep Apnea: Use of the Validated STOP-Bang Screening Tool in the Preadmis,AMBULATORY ANESTHESIA,17.0,23.0,10.0,19.0,2.0,25.0,12.0
Entropy Versus Standard Clinical Monitoring Using Total Intravenous Anesthesia for Transvaginal Oocy,AMBULATORY ANESTHESIA,6.0,7.0,4.0,27.0,20.0,23.0,15.0
A Randomized Trial of Pre-Warming on Intraoperative Core Temperature in Outpatient Surgery,AMBULATORY ANESTHESIA,2.0,24.0,15.0,4.0,3.0,33.0,22.0
Post-Operative Alertness and Recovery. Sugammadex Versus Neostigmine/Glycopyrrolate and Placebo,AMBULATORY ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Comparison of Two Techniques of Regional Anesthesia for Outpatient Surgery: Unilateral Spinal Anesth,AMBULATORY ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,31.0
Factors Impacting PONV and PDNV in the Ambulatory Setting,AMBULATORY ANESTHESIA,3.0,20.0,19.0,27.0,2.0,19.0,10.0
Risk Factors for Complications Following Surgery for Obstructive Sleep Apnea,AMBULATORY ANESTHESIA,17.0,23.0,10.0,8.0,2.0,25.0,12.0
The Effect of Sevoflurane Versus Desflurane on the Incidence of Upper Respiratory Morbidity in Patie,AMBULATORY ANESTHESIA,17.0,4.0,10.0,8.0,20.0,25.0,15.0
Preoperative Intravenous Parecoxib Reduces Length of Stay on Ambulatory Laparoscopic Cholecystectomy,AMBULATORY ANESTHESIA,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Liability in Office-Based Anesthesia: Closed Claims Analysis,AMBULATORY ANESTHESIA,17.0,4.0,18.0,19.0,2.0,6.0,31.0
Palonosetron With Hydroxyzine Reduces Symptoms of Narcotic Drug Withdrawal in Humans,ANESTHETIC ACTION AND BIOCHEMISTRY,3.0,20.0,19.0,27.0,24.0,19.0,10.0
Effect of Anaesthetic Technique on Immune Cell Infiltration in Breast Cancer: A Follow-Up Pilot Anal,ANESTHETIC ACTION AND BIOCHEMISTRY,3.0,2.0,19.0,19.0,24.0,6.0,11.0
Neither Droperidol Nor Ondansetron Produce Dispersion of Ventricular Repolarization in Anesthetized ,ANESTHETIC ACTION AND BIOCHEMISTRY,6.0,7.0,4.0,19.0,24.0,23.0,15.0
Effects of Isoflurane on Intracellular Calcium in Boutons of Hippocampal Neurons.,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,17.0,17.0,15.0,27.0,6.0,35.0
Anesthetic Conditioning in Liver Transplantation. A Multicenter Randomized Controlled Trial.,ANESTHETIC ACTION AND BIOCHEMISTRY,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Failure to Rescue From Fulminant Malignant Hyperthermia: Deaths and Their Genetic Variants; 2007-201,ANESTHETIC ACTION AND BIOCHEMISTRY,17.0,4.0,18.0,19.0,2.0,25.0,31.0
Morphine Inhibition of Isocitrate Dehydrogenase: Implications for Metabolic and Epigenetic Cellular ,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,17.0,18.0,19.0,24.0,6.0,31.0
Phosphatidylinositide 3-Kinases Pathway is Involved in Mediating the Anti-Inflammation Effects of Na,ANESTHETIC ACTION AND BIOCHEMISTRY,8.0,2.0,1.0,1.0,29.0,17.0,11.0
Morphine Metabolism in Diet-Induced Obese Mice Compared to Leptin-Deficient Obese Mice,ANESTHETIC ACTION AND BIOCHEMISTRY,12.0,4.0,18.0,19.0,24.0,6.0,14.0
Determination Of Ketamine And Its Major Metabolites In Plasma And Brain Of Wistar Rats,ANESTHETIC ACTION AND BIOCHEMISTRY,12.0,14.0,18.0,20.0,24.0,6.0,31.0
Sevoflurane Suppresses Excitatory Synaptic Transmission in Hippocampal CA1 Region,ANESTHETIC ACTION AND BIOCHEMISTRY,12.0,17.0,18.0,15.0,27.0,6.0,35.0
Airway Constriction Delays Uptake and Elimination of Desflurane and Isoflurane.An Experimental Study,ANESTHETIC ACTION AND BIOCHEMISTRY,9.0,4.0,6.0,23.0,24.0,10.0,31.0
Metacholine Inhalation But Not Infusion Results in Ventilation-/Perfusion-Mismatch Related Delay of ,ANESTHETIC ACTION AND BIOCHEMISTRY,9.0,4.0,6.0,23.0,24.0,10.0,33.0
Hepatic Microsomal Midazolam 1’-Hydroxylation is Related to CYP3A5 But Not CYP3A4 Content in Taiwane,ANESTHETIC ACTION AND BIOCHEMISTRY,12.0,4.0,18.0,19.0,24.0,6.0,31.0
Minimum Alveolar Concentration(MAC) of Sevoflurane in Patients With Liver Dysfunction,ANESTHETIC ACTION AND BIOCHEMISTRY,6.0,7.0,4.0,2.0,20.0,23.0,15.0
Cysteine Substitutions Define State-Dependent Accessibility and Etomidate Binding in the α-M1 Domain,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,17.0,18.0,15.0,27.0,6.0,31.0
Global Kinetic Modeling of GABA-A Receptor Macrocurrents Based on Allosteric Principles,ANESTHETIC ACTION AND BIOCHEMISTRY,12.0,4.0,18.0,19.0,24.0,6.0,31.0
GABA-A Receptors; the Molecular Targets of General Anesthetics,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,17.0,18.0,19.0,24.0,6.0,31.0
Does Pre-Operative Muscle Weakness in Type 2 Diabetes Promote Residual Paralysis During Emergence Fr,ANESTHETIC ACTION AND BIOCHEMISTRY,17.0,4.0,18.0,19.0,17.0,2.0,19.0
The Role of PKC-Mediated Calcium Sensitization in Propofol-Induced Vasodilation,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,17.0,18.0,24.0,24.0,12.0,31.0
Crossover Studies in Monkeys Show that a New Ultra-Short Acting Nondepolarizer; CW 1759-50; in Contr,ANESTHETIC ACTION AND BIOCHEMISTRY,16.0,4.0,18.0,10.0,24.0,2.0,19.0
A GABA Receptor Model Predicts the Presence of Anesthetic Activity in Newer Propofol Analogues,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,17.0,18.0,15.0,27.0,6.0,35.0
A Tandem Pore Potassium Channel Model Demonstrates a Possible Anesthetic Binding Site,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,17.0,18.0,19.0,24.0,6.0,31.0
GABA-A Receptor βN265 on M2 is an Etomidate Binding Determinant,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,17.0,18.0,15.0,24.0,6.0,31.0
Deciphering How Inhaled Anesthetic Agents Work: The Role of Ion Channels,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,17.0,18.0,19.0,24.0,6.0,31.0
CW 1759-50: An Ultra-Short Acting; Cysteine-Reversible NMBA Lacking Histaminoid Side-Effects: Safety,ANESTHETIC ACTION AND BIOCHEMISTRY,16.0,4.0,18.0,10.0,17.0,2.0,19.0
CW1759-50: A New Ultra-Short Acting Non-depolarizer: Spontaneous Recovery Versus Antagonism by L-Cys,ANESTHETIC ACTION AND BIOCHEMISTRY,16.0,11.0,18.0,10.0,17.0,2.0,19.0
Mu Opioid Receptor Expression in Various Tumor Types: Creating a Mu Scoring System,ANESTHETIC ACTION AND BIOCHEMISTRY,17.0,4.0,18.0,19.0,24.0,6.0,31.0
The Influence of Glucose Load During the Operation on the Metabolism,ANESTHETIC ACTION AND BIOCHEMISTRY,6.0,7.0,9.0,11.0,20.0,23.0,15.0
Propofol Inhibits Lipopolysaccharide-Stimulated; NADPH O(NOX2)-Mediated TNF-α and IL-6 Production in,ANESTHETIC ACTION AND BIOCHEMISTRY,8.0,2.0,1.0,1.0,29.0,17.0,11.0
Sevoflurane Ameliorates Lipopolysaccharide-Induced Acute Lung Injury and Changes Micro RNA Expressio,ANESTHETIC ACTION AND BIOCHEMISTRY,8.0,2.0,1.0,1.0,29.0,17.0,11.0
Immunomodulatory Effects of Volatile Anesthetics,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,2.0,1.0,1.0,29.0,17.0,11.0
Sevoflurane Anesthesia Downregulates Circulating Muscle-Derived miRNA,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,14.0,18.0,1.0,29.0,23.0,31.0
Releasing Rate From the Sarcoplasmic Reticulum by One Point Mutation in CACNA1S,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,4.0,18.0,19.0,24.0,6.0,31.0
Clinical MH and Ca2+ Release From Sarcoplasmic Reticulum Phenotype in the Presence of Homozygous Pro,ANESTHETIC ACTION AND BIOCHEMISTRY,12.0,4.0,18.0,19.0,24.0,6.0,31.0
New Blood Bimarkers in Cancer Diagnosis and Prognosis,ANESTHETIC ACTION AND BIOCHEMISTRY,17.0,23.0,10.0,19.0,24.0,6.0,12.0
Intravenous Fatty Emulsion: Rats Survive Clonidine and Propranolol Overdose,ANESTHETIC ACTION AND BIOCHEMISTRY,12.0,4.0,16.0,19.0,24.0,6.0,31.0
Dantrolene for the Treatment of Malignant Hyperthermia and Other Malignant Hyperthermia-Like Syndrom,ANESTHETIC ACTION AND BIOCHEMISTRY,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Epinephrine Slows Down the Lidocaine-inhibition of Human Oral Squammous Cancer HSC-3 Cell Proliferat,ANESTHETIC ACTION AND BIOCHEMISTRY,10.0,17.0,17.0,19.0,24.0,27.0,11.0
Sargramostim Improves HLA-DR Response and Cumulative Infection Rate After Surgical Immunosuppression,ANESTHETIC ACTION AND BIOCHEMISTRY,17.0,20.0,10.0,27.0,30.0,19.0,10.0
Acyclic Cucurbit[n]uril-Type Molecular Containers Bind Ketamine in Vitro and Reverse Ketamine Anesth,ANESTHETIC ACTION AND BIOCHEMISTRY,12.0,7.0,18.0,10.0,17.0,2.0,19.0
Whole Exome Sequencing Identifies Novel Genetic Variants in Amputees With Persistent Residual Limb P,CHRONIC AND CANCER PAIN,12.0,4.0,18.0,19.0,24.0,6.0,31.0
Inflammatory Pain Induces Cognitive Impairment Through an IL-6-Dependent and PSD95-Associated Mechan,CHRONIC AND CANCER PAIN,1.0,14.0,13.0,12.0,24.0,18.0,25.0
Genetic Variants Affecting CRH-Binding Protein Predict Pain Persistence After Trauma Exposure,CHRONIC AND CANCER PAIN,17.0,4.0,18.0,19.0,24.0,6.0,31.0
AAV2-Agrin Peripheral Nerve Delivery Suppresses Neuropathic Pain Induced by Spinal Cord Injury,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Enantioselective Effect Of Ketamine Metabolites On Serine Racemase Expression and Function In 1321N1,CHRONIC AND CANCER PAIN,12.0,17.0,18.0,15.0,24.0,6.0,31.0
Gabapentin And (S)-Pregabalin Attenuate Basal Serine Racemase Activity In PC-12 Cells,CHRONIC AND CANCER PAIN,10.0,17.0,18.0,19.0,24.0,6.0,25.0
Deletion of Type II TGF-β Receptor Gene in Articular Chondrocytes Leads to Progressive OA in Mice,CHRONIC AND CANCER PAIN,1.0,15.0,18.0,19.0,24.0,6.0,31.0
Bone Marrow-Derived Microglia That Express IL-1β Might Cause Negative Emotions Induced by Neuropathi,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,29.0,18.0,25.0
New Alpha-2 Adrenergic Agonist Was Effective to Reduce Hyperalgesia and Allodynia Induced by SNL Mod,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
A Quantum Mechanical Approach to Medication Toxicity: A Case Study With Acetaminophen,CHRONIC AND CANCER PAIN,12.0,4.0,18.0,19.0,24.0,6.0,31.0
Duloxetine Inhibits Menthol-Activated Currents of TRPM8 Channels Expressed in Xenopus Oocytes,CHRONIC AND CANCER PAIN,1.0,15.0,18.0,15.0,24.0,18.0,25.0
STAT3 Contributed to Mechanical Allodynia by Regulating Chemokine Expression in Astrocytes,CHRONIC AND CANCER PAIN,8.0,2.0,1.0,1.0,29.0,17.0,11.0
Not Only Intraperitoneal; But Also Oral Administration of L-serine Improved Paclitaxel-Induced Mecha,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Spinal Cord Stimulation Decreased Serotonin Synthetic Enzyme in the Spinal Cord of Neuropathic Pain ,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Antinociceptive Effects of Vitamin C and Vitamin E in Chronic Post-Ischemia Pain (CPIP) Rat Model,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Phosphorylation of GluR1 in Spinal Dorsal Horn Neurons Accompanies Chronic Constriction Injury of th,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Anti-Hyperalgesic Effects of Intervention With Multisensory Rehabilitation in a Rat Model of Neuropa,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Baicalin Ameliorates Neuropathic Pain by Suppressing of HDAC1 Expression in the Spinal Cord of Spina,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Analgesic Action of Intrathecally Administered Gamma-Aminobutyric Acid Transporter-3 Inhibitor in Ra,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Role of Spinal MicroRNA-146a and -183 Cluster in Knee Joint Osteoarthritic Pain,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,29.0,18.0,25.0
C-C Chemokine Receptor Type 5 is an Important Regulator in the Development and Maintenance of Neurop,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
AZD Administration in Mice May Contribute to Pain Relief in Neuropathetic Pain Model,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Novel Nicotinic Agonist Reduces Hyperalgesia and Allodinia in Neuropathic Pain in Rats,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Genome-Wide DNA Methylation Analysis in Amputees With Chronic Residual Limb Pain Reveals Significant,CHRONIC AND CANCER PAIN,7.0,4.0,18.0,19.0,24.0,6.0,31.0
Spinal Menin Regulates Glutamatergic Transmission After Peripheral Nerve Injury,CHRONIC AND CANCER PAIN,1.0,17.0,13.0,15.0,27.0,18.0,25.0
Improvement of Diabetic Neuropathy in Rats After Treatment With a Novel Sulfonylhydrazone Derivative,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Are Baseline Pain Sensitivity and Genetic Factors Associated With Acute and Chronic Post-Thoracotomy,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,19.0,30.0,19.0,10.0
The Impact of Centralized Pain on Long-term Analgesic Response to Lower Extremity Joint Arthroplasty,CHRONIC AND CANCER PAIN,17.0,4.0,10.0,19.0,2.0,25.0,12.0
Heat Pain Sensitivity Predicts Persistent Postoperative Pain (PPP) After Total Knee Replacement,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Hyperalgesia Around Surgical Wound is Associated With Persistent Pain After Total Knee Replacement,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,6.0,30.0,19.0,10.0
CRPS Following Arthroscopic Shoulder is Associated With IL1-ra Genotype,CHRONIC AND CANCER PAIN,17.0,4.0,18.0,19.0,24.0,25.0,31.0
Regional Anesthesia Catheters Reduce the Incidence of Chronic Neuropathic Pain After Traumatic Amput,CHRONIC AND CANCER PAIN,7.0,4.0,18.0,19.0,24.0,19.0,31.0
Predicting and Preventing Central Nervous System Changes Leading to Chronic Pain After Cardiac Surge,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Assessing the Longevity and Complications of Implantable Intrathecal Drug Delivery Systems for Chron,CHRONIC AND CANCER PAIN,17.0,4.0,18.0,19.0,24.0,6.0,31.0
Pediatric Complex Regional Pain Syndrome. Short and Long-Term Results of an In-Patient Rehabilitatio,CHRONIC AND CANCER PAIN,17.0,4.0,18.0,19.0,2.0,6.0,31.0
The Incidence of Chronic Post-Surgical Pain After Inguinal Hernia Surgery,CHRONIC AND CANCER PAIN,17.0,20.0,19.0,27.0,2.0,19.0,10.0
Nerve Block Inhibits Brain Activities by Acupuncture,CHRONIC AND CANCER PAIN,14.0,4.0,20.0,19.0,10.0,6.0,31.0
The Analgesic Effect of Lidocaine Infusion in a Fibromyalgia Patient Population Is Significantly Bet,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Peripheral Nerve Stimulation in the Treatment of Chronic; Intractable Headaches: A Long-Term Follow-,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Preoperative Inflammatory Bowel Diseases But Not Diverticulitis Increase the Risk of Chronicisation ,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Increasing Vertebral Height With Percutaneous Vertebral Augmentation Decreases Both Pain Score and O,CHRONIC AND CANCER PAIN,14.0,20.0,19.0,19.0,30.0,19.0,31.0
Patient Registry of Intrathecal Ziconotide Management (PRIZM) in Patients With Severe Chronic Pain,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Analysis of Inadvertent Intradiscal and Intravascular Injection During Transforaminal Epidural Stero,CHRONIC AND CANCER PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
A Retrospective Comparison of VAS Scores in Chronic Pain Patients on Methadone vs Oxycodone; Oxycont,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Pain Disability and Exacerbation Factor in Patients With Chronic Pain,CHRONIC AND CANCER PAIN,7.0,20.0,19.0,19.0,30.0,19.0,10.0
Long-Term Outcomes of Percutaneous Radiofrequency Thermocoagulation of Gasserian Ganglion for 2nd- a,CHRONIC AND CANCER PAIN,14.0,8.0,20.0,6.0,2.0,25.0,12.0
Adjuvant Hyaluronidase to Epidural Steroid Injection Improves the Quality of Analgesia in Patients W,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
The Effect of Nitrous Oxide on Functional Outcomes After Epidural Blocks for Neuropathic Back Pain,CHRONIC AND CANCER PAIN,6.0,20.0,18.0,19.0,24.0,19.0,31.0
Preoperative Pain Catastrophizing Predicts Incidence of Chronic Pain After Total Knee Replacement,CHRONIC AND CANCER PAIN,7.0,20.0,19.0,19.0,30.0,19.0,10.0
Pain in an Underserved Population: An Observational Study in Webuye; Kenya,CHRONIC AND CANCER PAIN,5.0,20.0,19.0,27.0,30.0,19.0,10.0
Effects of Two Different Doses of Epidural Steroid on Blood Glucose Levels and Pain Control in Patie,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,11.0,30.0,19.0,10.0
Concordant Pressure Paresthesia During Interlaminar Lumbar Epidural Steroid Injections Correlates Wi,CHRONIC AND CANCER PAIN,14.0,8.0,19.0,6.0,30.0,19.0,10.0
Lesion Dimensions Altered in Radiofrequency Ablation Near the Bone-Muscle Interface,CHRONIC AND CANCER PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Puncture Distance and Distribution of the Vertebral Artery in Echography-Guided Stellate Ganglion Bl,CHRONIC AND CANCER PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Relationship Between Serum Carbamazepine Concentration and Degree of Satisfaction in Patients With N,CHRONIC AND CANCER PAIN,1.0,4.0,18.0,19.0,24.0,6.0,31.0
Efficacy of Facet Rhizotomy for Patients With Chronic Refractory Back Pain Resulting From Osteoporot,CHRONIC AND CANCER PAIN,7.0,20.0,18.0,19.0,30.0,19.0,31.0
Chronicisation of Post-Surgical Pain After Laparoscopic Colorectal Surgery: Characteristics and Risk,CHRONIC AND CANCER PAIN,17.0,20.0,19.0,27.0,30.0,19.0,10.0
Comparison of Numerical Rating Scale Between Red and Green Questionnaires in Patients With Chronic P,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Incidence of Intravascular Injection in Cervical Medial Branch Blocks by Using Digital Subtraction A,CHRONIC AND CANCER PAIN,14.0,8.0,20.0,6.0,10.0,35.0,28.0
Effect of Diabetes on Pain Reduction After Epidural Steroid Injections for Radiculopathy,CHRONIC AND CANCER PAIN,17.0,23.0,10.0,8.0,2.0,25.0,12.0
The Impact of Decision-Making for End Of Life Care on the Preferred Place of Care and Death in Japan,CHRONIC AND CANCER PAIN,5.0,4.0,18.0,19.0,24.0,6.0,31.0
Clinical Improvement Through Nonoperative Treatment of Adult Spinal Deformity: Who Is Likely to Bene,CHRONIC AND CANCER PAIN,17.0,4.0,18.0,19.0,2.0,25.0,31.0
A Comparison of Ketamine Infusion Efficacy in Type 1 Versus Type 2 Complex Regional Pain Syndrome,CHRONIC AND CANCER PAIN,17.0,20.0,10.0,19.0,2.0,25.0,12.0
Effect of Nitrous Oxide on Pain and Opioid Requirement in Patients With Neuropathic Low-Back Pain,CHRONIC AND CANCER PAIN,3.0,20.0,19.0,27.0,30.0,19.0,10.0
Capsazepine Alleviates Trigeminal Neuralgia that Manifested With Cold Allodynia and Hyperalgesia in ,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Characteristics of Pain Related Behavior in Chronic Inflammatory Model and Cancer Pain Model in Mice,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Can Continuous Low-Dose Ketamine Infusion Attenuate Neuropathic Pain After Infusion Is Discontinued?,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Opioid Receptor Antagonists at Therapeutic Concentrations Block EMT in Human Lung Cancer Cells,CHRONIC AND CANCER PAIN,10.0,2.0,18.0,19.0,24.0,6.0,11.0
Identification of mRNA Changes at the DRG That Correlate With Development of Chronic Allodynia,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
The Therapy of Pulsed Electrical Magnetic Field Over Neuropathic Pain Induced by Chronic Constrictio,CHRONIC AND CANCER PAIN,1.0,15.0,13.0,12.0,15.0,18.0,25.0
Predictors for Successful Weaning and Survival in Patients Undergoing ECMO Therapy,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Intra-Aortic Protamine Administration After Cardiopulmonary Bypass Results In Decreased Pulmonary Ar,CLINICAL CIRCULATION,15.0,16.0,16.0,22.0,24.0,6.0,31.0
Predictive Accuracy of FIBTEM Assay for Clauss Fibrinogen Varies With Fibrinogen Substitution Thresh,CLINICAL CIRCULATION,15.0,23.0,10.0,9.0,13.0,6.0,31.0
A Novel Method of Data Analysis for Utilization of Red Cell Transfusion,CLINICAL CIRCULATION,17.0,4.0,7.0,9.0,25.0,26.0,31.0
Evaluation of Hypercoagulability Via ROTEM Thromboelastography After Ventricular Assist Device Impla,CLINICAL CIRCULATION,15.0,4.0,7.0,9.0,13.0,6.0,23.0
The Independent Effects of Anemia and Transfusion on Mortality After Coronary Artery Surgery,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Red Blood Cell Deformability and Aggregation in Patients Undergoing Cardiac Surgery,CLINICAL CIRCULATION,15.0,0.0,7.0,9.0,25.0,26.0,27.0
Bleeding in Patients Undergoing Noncardiac Surgery During Antiplatelet Therapy: The BIANCA Trial,CLINICAL CIRCULATION,15.0,23.0,10.0,9.0,13.0,25.0,12.0
The Influence of Hemodilution on Outcome After Cardiopulmonary Bypass: Results of a Randomized Trial,CLINICAL CIRCULATION,17.0,23.0,10.0,9.0,25.0,26.0,12.0
Anesthetic Management of Emergent Endovascular Aneurysm Repair (EVAR) : Case Series and Review,CLINICAL CIRCULATION,17.0,23.0,10.0,19.0,2.0,25.0,31.0
Effect of Sensor Location on Regional Cerebral Oxygen Saturation Measured by INVOS 5100 in Cardiac S,CLINICAL CIRCULATION,12.0,4.0,5.0,19.0,24.0,6.0,31.0
Low Levels of High-Density Lipoproteins are Associated With Acute Kidney Injury After Chronic Limb I,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
Lower Limb Peripheral Near-Infrared Spectroscopy Parameters During an Aascular Occlusion Test: An Ex,CLINICAL CIRCULATION,12.0,4.0,5.0,19.0,24.0,6.0,31.0
Preoperative Anxiety in Patients Undergoing Cardiac Surgery,CLINICAL CIRCULATION,17.0,23.0,10.0,19.0,2.0,25.0,12.0
Predictors of Intraoperative and 24-hours Postoperative Cardiac Arrest in Elective Surgery: Ten Year,CLINICAL CIRCULATION,17.0,23.0,10.0,8.0,2.0,25.0,12.0
